ID,min_year,max_year
1654,1970,2000
1655,1970,2000
1656,1950,1989
1657,1979,1998
1658,1998,2003
1659,1999,2003
1660,1999,2003
1661,1993,2003
1662,1970,2000
1663,1970,2000
1664,1970,2000
1665,1970,2000
1666,1986,2005
1667,1986,2003
1668,1986,2005
1669,1986,2005
1670,1970,2000
1671,1970,2000
1672,1970,2000
1673,1986,2005
1674,1970,2000
1675,1970,2000
1676,1986,2005
1677,1988,1999
1678,1982,1999
1679,1950,1990
1680,1980,1990
1681,1950,1990
1682,1991,2000
1683,1950,1990
1684,1960,1992
1685,1950,1992
1686,1980,1994
1687,1970,2000
1688,1970,2000
1689,1970,2000
1690,1970,2000
1691,1970,2000
1692,1970,2000
1693,1970,2000
1694,1980,1990
1695,1960,1993
1696,1950,1999
1697,1970,1995
1698,1991,2000
1699,1970,1998
1700,1968,1998
1701,1966,1997
1702,1970,2000
1703,1970,2000
1704,1970,2000
1705,1970,2000
1706,1950,1989
