"Binomial","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","global_abundance","max_growth_rate","Body.Mass.gram."
"Calidris acuminata",0.0291111794232713,0.0319723683538331,0.0369962867050182,0.03600737575537,0.0344880972707638,0.0296543485563952,0.017326884456588,-0.0163806909266331,-0.0416737303519391,-0.0618758668522183,-0.0670239408367447,-0.0512720198990016,-0.117133509419971,-0.0690508708927142,0.079294766023565,0.0365227504729098,0.0651212647318504,0.0372188736908631,0.0203246419779969,-0.130153613191254,-0.0902942975682937,-0.10949998772189,-0.139303472194187,-0.150920725054015,NA,22985184,0.079294766023565,66.6
"Calidris alba",0.0127448706594243,0.0332483450080254,0.0294297112405977,0.0173659436882158,0.0139250555380233,0.0197415410423638,-0.0174358934166281,0.135904862274091,0.0407731894519243,0.000797095159037323,-0.00987878836317661,0.0260293956052286,0.013080818683517,-0.0752668948213746,-0.0558205012357433,0.145232411681733,-0.0522926760743013,0.0334322383871415,0.033928082951156,-0.0256859747745327,0.110072533595796,-0.148109317458994,0.0415744509924848,0.309428672632797,0.152136906295935,32522051,0.309428672632797,53.2
"Calidris alpina",0.0280748619154098,0.0478598431690229,0.0314293802749682,0.0147062062491399,0.0110794816624998,0.0186383503029723,0.0237864955273451,0.0244225432708163,-0.0315473605150786,0.0209924137636452,-0.0218899255779766,-0.00653157120179764,-0.0173644188294679,-0.0165347769155299,-0.00714920642150945,0.0123714800287381,-0.0559601172501319,-0.0329473022275643,0.0212989121477337,-0.00407958179364695,-0.0027042815540867,-0.0122767069104163,-0.0146839758748076,-0.0936851774964445,-0.0252639696357345,74082180,0.0478598431690229,52.3
"Calidris bairdii",NA,NA,NA,NA,NA,NA,NA,NA,-0.451544993495972,NA,NA,NA,NA,NA,NA,NA,NA,0.602059991327962,0.217483944213906,-0.518513939877888,0,1,-1,0,0,40210365,1,41.1
"Calidris canutus",-0.00554589806452613,-0.000205633340412501,0.0122101639246626,-0.00733798145276753,0.00762801324249234,0.0680499179361052,-0.0360347053461728,0.00764403442972591,-0.00476516065577019,-0.0137300088090196,-0.0326457175731765,-0.0338343334020623,-0.0146289731420745,-0.0338284672850521,-0.00907486581499837,-0.00691787236456975,-0.0416489032457336,-0.0491371310875114,-0.00728579696565861,-0.00775024779241546,-0.00137773304581968,-0.00967602071978939,0.00999946799337035,-0.0130300739154892,-0.0306820420248951,62640390,0.0680499179361052,142
"Calidris ferruginea",-0.0560122772809228,-0.00125169119381923,-0.0253953837788959,-0.00642743920650922,0.00788757319343219,-0.0507726573540759,-0.058307801488756,-0.0486980044742802,-0.0527046423086234,-0.00761800419566678,0.00200839988322621,-0.0797561605841458,-0.0321753999360995,-0.0467857934381639,-0.0320265509977167,-0.0343014611398449,-0.0475801804793675,-0.00698488247827433,-0.0235534530337821,-0.0419438500037177,-0.0282040448933087,-0.047379336708327,0.00283157482042031,-0.044530421604681,-0.043111641391324,47681277,0.00788757319343219,58.1
"Calidris fuscicollis",NA,NA,NA,NA,NA,NA,NA,NA,-0.0761028593291827,-0.0716770471968591,-0.240655165023673,-0.169318290067177,-0.0785250751829762,0.00418103619503629,0.064736665205742,0.109531098087581,0.149190424921283,0.181911587147837,-0.046978228574611,-0.105787805981974,0.163306347249011,0.145896443869957,NA,-1,NA,84606359,0.181911587147837,44.5
"Calidris himantopus",1,-1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18671433,1,57.4
"Calidris maritima",-0.0258124766223359,-0.0206494943603696,-0.0125675207764377,0.00767504504658456,-0.0265839409957159,-0.0388674431830253,-0.0250526669439686,0.00658909149308122,0.0293511423279814,0.030523945698504,0.0184451802815671,0.00347511634297441,-0.0111855381729512,-0.0208810022462442,-0.0155347088875872,-0.000766148467184813,0.00538846122983494,-0.00423755732311282,-0.0100699093792633,0.00795293019807497,-0.0701409704679392,0.302816093737841,-0.453321439489112,0.545043754996329,0.0357892941442273,24702424,0.545043754996329,65.2
"Calidris mauri",NA,NA,NA,NA,-0.0874744223421366,0.178254400097864,-0.0530369193291822,NA,0.132331161592385,-0.169273309269213,-0.296966178668347,0.0764670484236516,-0.0691941208040512,-0.0482083963197875,-0.0414534374704534,-0.0314215841021648,-0.0190657873844042,-0.0066751619893104,0.00307747916022372,0.00860345806760243,0.0103525699427562,0.0103269795923397,NA,NA,NA,43774252,0.178254400097864,27.9
"Calidris melanotos",-0.0105957444055142,-0.206017652453758,0.286356099119463,-0.293764797378618,-0.0704658513208053,-0.0704658513208054,0.183160166019714,-0.460281225827584,-0.0730592935687751,-0.0730592935687752,0.022788390691675,0.0227883906916749,0.0895991031510965,0.179198206302193,0.189779020042405,0.179198206302193,0.179198206302193,0.470001513596715,NA,-0.301029995663981,NA,NA,NA,NA,NA,49292095,0.470001513596715,81.4
"Calidris minuta",0.00899111062297451,0.00878216605548514,-0.0621380919320774,0.0810586218927837,-0.0527561645119135,0.114962013274603,-0.0493677922312898,-0.0583236485792387,0.164370290873463,-0.0455157565017614,0.12428130359973,-0.0191138104181963,0.0424114417911613,-0.0134441441279514,0.0414643971076769,-0.0878215331570943,0.0367893241817455,0.0316851234626323,-0.0351357639524907,-0.0648465064090006,-0.0629275101146765,-0.0487809878801456,0.175097517167541,-0.0238140451084896,0.0313013809937872,79994541,0.175097517167541,21.1
"Calidris minutilla",NA,NA,NA,NA,NA,NA,0.126122792404381,-0.0339130557281795,NA,NA,-0.091567018980544,-0.091567018980544,-0.0915670189805442,0.149762320333332,0.259938799224496,0.0895545803760851,0.35784018822024,-0.255519461338426,0.383216751851331,-0.30239355873673,-0.283964334370432,-0.283964334370433,NA,NA,NA,52765802,0.383216751851331,22.9
"Calidris ptilocnemis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0588951898630752,-0.056481157253045,-0.0510724742153803,-0.0435829638575362,-0.0365777302537493,-0.0321386843428311,-0.0296603514790146,-0.0263097231556033,-0.019822542847415,-0.0103760913053779,0.000397686041477385,0.0113895366684358,0.0221096176065503,0.0311813891757002,0.0362983211987529,6777985,0.0362983211987529,86
"Calidris pusilla",-0.0061188821505286,0.0125422955973175,0.00613504919725591,-0.0701481393727394,-0.0179967739777168,-0.017996773977717,-0.0125249270786559,-0.259393695308992,0.0373942968647484,0.0373942968647483,-0.0125249270786562,-0.0125249270786562,-0.0125249270786556,-0.0125249270786559,-0.0125249270786559,-0.0125249270786559,-0.0125249270786559,0.00096506175688602,-0.0125249270786559,-0.0125249270786559,-0.0125249270786559,-0.0967420690082482,-0.0967420690082482,0.702206490028495,NA,78862750,0.702206490028495,27.5
"Calidris ruficollis",-0.0576053518948099,-0.0198742992627366,-0.0530347138799707,-0.0246133893779753,-0.0064081324434802,-0.0286005713008006,0.0131912143482846,-0.0346379359306706,-0.020148734206384,-0.0201114013826293,-0.00577366944975034,-0.024000206513311,-0.0131482588424837,-0.0109497073652541,0.0181086022388702,-0.00559925659333706,-0.00185974915381191,-0.00394539102313846,-0.021706916836186,-0.012386417003721,-0.03128185459673,-0.0514764315601124,-0.00466573707502448,-0.0302816290011515,-0.0241077221286087,42947992,0.0181086022388702,26.8
