"Binomial","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","Class"
"Aquila spilogaster",NA,NA,NA,NA,NA,NA,-0.0261765213620855,-0.0261765213620853,-0.0261765213620853,-0.0261765213620855,-0.0261765213620853,-0.0261765213620853,-0.0261765213620855,-0.0261765213620853,-0.0261765213620853,-0.0261765213620853,-0.0261765213620853,-0.0261765213620855,-0.0261765213620853,-0.0261765213620853,-0.0261765213620855,-0.0261765213620853,-0.0261765213620853,-0.0261765213620855,-0.0261765213620853,"Aves"
"Aramides cajaneus",0.180617997398389,0.180617997398389,0.180617997398389,0.180617997398389,0.180617997398389,0,0,0,0,0,0,0,0,0,0,0,0,0.176091259055681,NA,NA,NA,NA,NA,NA,NA,"Aves"
"Ardea alba",0.0297549292871727,0.0682335031027067,-0.107545539576386,0.0216010556617956,-0.0160531382332311,0.00284535765227015,0.0707467199426223,0.118807750711192,0.0372157231203678,0.076876881942252,-0.0397826371287434,0.0707021521121956,0.101853283161447,0.042122179704148,0.118631261856602,0.0636243823305801,0.0710029795771178,0.0324750298244912,-0.0430085477845443,0.0227589689523654,0.0101703084059901,0.12623284896144,-0.00446167426722163,-0.113974811816438,0.0219381688562446,"Aves"
"Ardea plumifera",-0.00636208776234515,-0.0384421693371904,-0.0660474853972643,-0.0847031032336998,-0.0972674855667086,-0.104659624700843,-0.106879520636102,-0.103927173372485,-0.0958025829099944,-0.0833270135233104,-0.0700850867179015,-0.0579543474128288,-0.0461784960838709,-0.032150826385174,-0.0133161570047802,0.0101329046816669,0.0339652201549241,0.0519969420392885,0.0605236927840693,0.0612327874083365,0.0595037295239327,NA,NA,NA,NA,"Aves"
"Ardenna carneipes",-0.00277903332362299,-0.00277903332362291,-0.00277903332362299,-0.00277903332362299,-0.00277903332362291,-0.00277903332362291,-0.00277903332362306,-0.00277903332362284,-0.00277903332362306,-0.00277903332362299,-0.00277903332362284,-0.00277903332362291,-0.00277903332362291,-0.00277903332362306,-0.00277903332362299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aves"
"Bonasa bonasia",0.0749922658661576,0.0144595117006671,-0.0199813667937133,-0.0449323927687612,-0.0444964801930474,-0.0184760131642492,0.0167720103323065,0.0403610709140185,-0.014600606489847,-0.00953859159818382,-0.00534650099652723,-0.00205554561222554,0.000911189433675963,0.00335376118893072,0.00425320049673505,0.00312995783351044,0.000869258934350192,-0.00112598198763347,-0.00228992722251853,-0.00307763453698029,-0.00409413796502811,-0.00563435164338233,-0.00815558246917347,-0.0125660140107193,-0.0193823498823511,"Aves"
"Brachyramphus marmoratus",-0.0360080479653774,-0.0359123464880684,-0.0357976745073535,-0.0356646347550889,-0.0355291954915177,-0.03541392287557,-0.0353292982031146,-0.0352674482964075,-0.0352152780149212,-0.0351686240614213,-0.0351312556805504,-0.035106899070845,-0.0350997300139018,-0.0351197554683274,-0.0290096717389733,-0.0290750713777575,-0.0291580473861539,-0.0292485620878975,-0.0293416099186936,-0.0294338662631938,-0.0295174070194025,-0.0295813169641364,-0.0296198152285617,-0.0361188792555408,-0.03612561308485,"Aves"
"Branta hutchinsii",0.0420959651031917,0.0456423075393824,0.0532124998887791,0.0606175965414576,0.0655263427623328,-0.0962575338465772,0.184617396537015,-0.00281123353543139,-0.0033293581010678,-0.00501199644007122,-0.00712870509998885,-0.00929758279928794,-0.0111999374730574,-0.0124242533124047,-0.0125164767606147,-0.011366261014224,-0.0094287356740136,0.187443581442939,0.0298456712773554,0.0435136866767731,0.0546653129457626,0.0610504028393821,NA,NA,NA,"Aves"
"Branta ruficollis",-0.286889055894986,0.286204669186531,0.1608651902849,0.220848518795619,0.153150397296583,0.130443810111031,-0.0638004199066866,0.0294468489012425,0.0129148497625211,0.0439663279466612,0.0317536037785394,0.0317536037785398,0.0317536037785395,-0.0496379926237498,-0.0496379926237501,-0.04963799262375,-0.0496379926237499,0.0815755075614766,0.0305060285673103,0.18261897455501,0.257242603018637,0.257242603018637,NA,NA,NA,"Aves"
"Brotogeris pyrrhoptera",NA,NA,NA,NA,NA,-0.0566590010712583,-0.00789664605761109,-0.00789664605761103,-0.00789664605761106,-0.00789664605761112,-0.00789664605761106,-0.00789664605761112,-0.00789664605761103,-0.00789664605761106,-0.00789664605761115,-0.00789664605761101,-0.00789664605761112,-0.00789664605761103,-0.00789664605761106,-0.00789664605761112,-0.00789664605761106,NA,NA,NA,NA,"Aves"
